
Test config
Factor: 0
A: row-tiled64x64 tiled-iterative(simd-tiled-bc)
B: column-tiled-64x64 tiled-iterative(simd-tiled-bc)
C: row-tiled64x64 tiled-iterative(simd-tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.001000	0.001000	0.001000	0.001000	0.001000	1185	6156	1395	4761	2325325	0.016739	0.000000	
256	256	256	1	0.004000	0.004000	0.004000	0.004000	0.004000	9131	12496	1692	10804	16700210	0.081375	0.000000	
512	512	512	1	0.029000	0.029000	0.029000	0.029000	0.029000	89730	64358	5285	59073	131366299	0.588989	0.000000	
1024	1024	1024	1	0.230000	0.230000	0.230000	0.230000	0.230000	757256	2100921	12091	2088830	1049186280	4.839844	0.000000	
2048	2048	2048	1	1.791000	1.791000	1.791000	1.791000	1.791000	7025994	18818144	66320	18751824	8372493519	37.261124	0.000000	
4096	4096	4096	1	14.337000	14.337000	14.337000	14.337000	14.337000	56599139	149008054	508390	148499664	66879473127	298.025543	0.000000	
