
Test config
Factor: 0
A: row-tiled8x8 recursive-8(simd-tiled-bc)
B: column-tiled-8x8 recursive-8(generic-bc)
C: row-tiled8x8 recursive-8(simd-tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.002000	0.002000	0.002000	0.002000	0.002000	1894	6397	1469	4928	12097133	0.035217	281474976708384.625000	
256	256	256	1	0.012000	0.012000	0.012000	0.012000	0.012000	12150	16485	3500	12985	95006116	0.188492	281474976708384.625000	
512	512	512	1	0.078000	0.078000	0.078000	0.078000	0.078000	82977	71503	10244	61259	757315295	1.589233	281474976708384.625000	
1024	1024	1024	1	0.625000	0.625000	0.625000	0.625000	0.625000	597515	973167	44817	928350	6057288556	12.834213	281474976708384.625000	
2048	2048	2048	1	5.094000	5.094000	5.094000	5.094000	5.094000	4825937	7381794	383900	6997894	48434305324	104.057465	281474976708384.656250	
4096	4096	4096	1	41.635000	41.635000	41.635000	41.635000	41.635000	38916938	103337088	2714586	100622502	387378302258	846.050903	281474976708384.687500	
