
Test config
Factor: 0
A: z-curve-tiled par-strassen-32(32-fixed-tiled-bc)
B: z-curve-tiled par-strassen-32(32-fixed-tiled-bc)
C: z-curve-tiled par-strassen-32(32-fixed-tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.007000	0.007000	0.007000	0.007000	0.007000	69502	121596	62617	58979	21753504	0.124619	0.000000	
256	256	256	1	0.023000	0.023000	0.023000	0.023000	0.023000	429068	462136	182080	280056	125930580	0.371521	0.000000	
512	512	512	1	0.137000	0.137000	0.137000	0.137000	0.137000	1505050	3462844	660064	2802780	773570793	2.065781	0.000000	
1024	1024	1024	1	0.698000	0.698000	0.698000	0.698000	0.698000	5923051	20727941	3454565	17273376	5032547811	12.569183	281472829290624.625000	
2048	2048	2048	1	1.779000	1.779000	1.779000	1.779000	1.779000	31309548	105854578	10765216	95089362	33655762378	55.973419	0.000000	
4096	4096	4096	1	6.849000	6.849000	6.849000	6.849000	6.849000	186525891	852271283	63285376	788985907	231508328401	306.436295	0.000000	
