Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
counters1_Btree_bs	1	5	0.091000	0.091000	0.091000	0.101000	0.102000	625256	17328	1489648	0	0	-
counters1_Btree_bs	2	5	0.152000	0.152000	0.152000	0.163000	0.164000	625694	21875	8271742	0	0	-
counters1_Btree_bs	4	5	0.164000	0.164000	0.166000	0.172000	0.175000	625549	23424	10058202	0	0	-
counters1_Btree_bs	8	5	0.194000	0.196000	0.198000	0.199000	0.201000	625590	24074	15817209	0	0	-
counters1_Btree_bs	16	5	0.327000	0.330000	0.333000	0.337000	0.338000	626157	34762	21575875	0	0	-
counters1_Btree_bs	32	5	0.358000	0.366000	0.366000	0.367000	0.392000	627338	37153	25790627	0	0	-
counters1_Btree_bs	64	5	0.410000	0.417000	0.417000	0.418000	0.429000	627157	39015	33716120	0	0	-
counters1_Btree_bs	128	5	0.569000	0.570000	0.570000	0.577000	0.591000	626970	53015	44078764	0	0	-
counters1_Btree_bs	256	5	0.621000	0.621000	0.621000	0.621000	0.621000	627171	55831	52117358	0	0	-
counters1_Btree_bs	512	5	0.653000	0.653000	0.654000	0.655000	0.658000	628055	58725	56907014	0	0	-
counters1_Btree_bs	1024	5	0.805000	0.806000	0.806000	0.806000	0.806000	634949	69261	66237397	0	0	-
counters1_Btree_bs	2048	5	0.839000	0.840000	0.841000	0.841000	0.841000	646331	77566	71655587	0	0	-
counters1_Btree_bs	4096	5	0.868000	0.870000	0.872000	0.873000	0.875000	713025	74389	76610168	0	0	-
counters1_Btree_bs	8192	5	1.031000	1.032000	1.034000	1.035000	1.035000	2749160	78357	87019340	0	0	-
counters1_Btree_bs	16384	5	1.069000	1.069000	1.069000	1.070000	1.071000	9687284	69503	92018085	0	0	-
counters1_Btree_bs	32768	5	1.115000	1.115000	1.115000	1.115000	1.115000	16216846	145452	98513228	0	0	-
counters1_Btree_bs	65536	5	1.317000	1.317000	1.317000	1.318000	1.318000	24208027	3549882	112878182	0	0	-
counters1_Btree_bs	131072	5	1.423000	1.424000	1.426000	1.426000	1.428000	33881633	13006661	124941672	0	0	-
counters1_Btree_bs	262144	5	1.514000	1.515000	1.516000	1.517000	1.528000	43809032	23485766	134275895	0	0	-
counters1_Btree_bs	524288	5	1.592000	1.592000	1.593000	1.594000	1.595000	52533633	33836867	144443942	0	0	-
counters1_Btree_bs	1048576	5	1.898000	1.900000	1.900000	1.901000	1.902000	63547846	44875673	154669973	0	0	-
counters1_Btree_bs	2097152	5	2.407000	2.413000	2.413000	2.415000	2.416000	76029590	57418803	171550356	0	0	-
counters1_Btree_bs	4194304	5	2.819000	2.822000	2.829000	2.838000	2.846000	86855816	68845928	190839842	0	0	-
counters1_Btree_bs	8388608	5	3.217000	3.234000	3.239000	3.245000	3.258000	99592094	81559020	192839239	0	0	-
counters1_Btree_bs	16777216	5	3.527000	3.531000	3.533000	3.541000	3.548000	113641323	95491126	207445123	0	0	-
