Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
counters1_Btree_linrec	1	5	0.111000	0.111000	0.111000	0.111000	0.111000	625302	18304	6975172	0	0	-
counters1_Btree_linrec	2	5	0.103000	0.103000	0.103000	0.104000	0.108000	625300	18008	6934855	0	0	-
counters1_Btree_linrec	4	5	0.092000	0.092000	0.092000	0.092000	0.092000	625325	17618	6322887	0	0	-
counters1_Btree_linrec	8	5	0.141000	0.141000	0.141000	0.142000	0.156000	625397	21303	11395169	0	0	-
counters1_Btree_linrec	16	5	0.196000	0.197000	0.197000	0.197000	0.197000	625404	25374	13563488	0	0	-
counters1_Btree_linrec	32	5	0.289000	0.290000	0.291000	0.291000	0.291000	625602	32229	13736559	0	0	-
counters1_Btree_linrec	64	5	0.428000	0.428000	0.428000	0.428000	0.428000	625718	43606	14040883	0	0	-
counters1_Btree_linrec	128	5	0.548000	0.548000	0.549000	0.549000	0.552000	626262	51903	19062039	0	0	-
counters1_Btree_linrec	256	5	0.607000	0.609000	0.609000	0.610000	0.610000	626840	55442	23212045	0	0	-
counters1_Btree_linrec	512	5	0.644000	0.644000	0.644000	0.644000	0.651000	628299	58919	25994168	0	0	-
counters1_Btree_linrec	1024	5	0.708000	0.708000	0.708000	0.708000	0.708000	635717	64538	29311895	0	0	-
counters1_Btree_linrec	2048	5	0.782000	0.782000	0.783000	0.783000	0.783000	647383	69607	29335726	0	0	-
counters1_Btree_linrec	4096	5	0.924000	0.924000	0.924000	0.924000	0.925000	757894	76274	28651376	0	0	-
counters1_Btree_linrec	8192	5	1.077000	1.078000	1.078000	1.078000	1.078000	4599241	72032	37854080	0	0	-
counters1_Btree_linrec	16384	5	1.122000	1.123000	1.123000	1.123000	1.126000	19809185	72130	42602027	0	0	-
counters1_Btree_linrec	32768	5	1.164000	1.164000	1.164000	1.165000	1.166000	28330950	152817	45205636	0	0	-
counters1_Btree_linrec	65536	5	1.227000	1.236000	1.236000	1.236000	1.242000	33076783	3581488	48875355	0	0	-
counters1_Btree_linrec	131072	5	1.370000	1.370000	1.378000	1.383000	1.384000	37871864	19616591	48628349	0	0	-
counters1_Btree_linrec	262144	5	1.535000	1.542000	1.545000	1.545000	1.557000	46802505	28553459	47496968	0	0	-
counters1_Btree_linrec	524288	5	1.675000	1.677000	1.679000	1.681000	1.685000	59016877	34034385	55225282	0	0	-
counters1_Btree_linrec	1048576	5	1.896000	1.904000	1.909000	1.909000	1.916000	66805538	39156604	59924496	0	0	-
counters1_Btree_linrec	2097152	5	2.654000	2.748000	2.749000	2.774000	2.822000	72078725	49668606	63261419	0	0	-
counters1_Btree_linrec	4194304	5	3.081000	3.087000	3.097000	3.101000	3.124000	76841065	61646397	67472126	0	0	-
counters1_Btree_linrec	8388608	5	3.349000	3.358000	3.358000	3.362000	3.369000	84749445	69371613	67327684	0	0	-
counters1_Btree_linrec	16777216	5	3.647000	3.650000	3.655000	3.659000	3.662000	95264847	73861684	66746701	0	0	-
