
Test config
Factor: 0
A: row-based 8par-naive
B: column-based 8par-naive
C: row-based 8par-naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.003000	0.003000	0.003000	0.003000	0.003000	6988	7260	4705	2555	19913757	0.033875	281474976693663.937500	
256	256	256	1	0.014000	0.014000	0.014000	0.014000	0.014000	4046	23021	16975	6046	153157421	0.197983	281474960166328.187500	
512	512	512	1	0.057000	0.057000	0.057000	0.057000	0.057000	20825	188716	138387	50329	1215069918	1.475159	281474960166200.125000	
1024	1024	1024	1	0.605000	0.605000	0.605000	0.605000	0.605000	705155	17411684	550258	16861426	9692233163	15.510406	281474960164757.750000	
2048	2048	2048	1	6.063000	6.063000	6.063000	6.063000	6.063000	30174600	612153780	2144690	610009090	77460398513	162.228378	281474960166224.500000	
4096	4096	4096	1	53.149000	53.149000	53.149000	53.149000	53.149000	118627826	7192182020	15678777	7176503243	619387134018	1449.369949	281474960166736.562500	
