<<<<<<< HEAD
n	speedup
1	1
2	1.992
3	2.839
4	3.777
=======
n	speedup
1	1
2	1.992
3	2.839
4	3.777
>>>>>>> 6d3a6349d12f1142ed3fdc30b4b09f9942dd2406
4w/HT	5.464
