
Test config
Factor: 0
A: z-curve-tiled par-strassen2-32(32-fixed-tiled-bc2)
B: z-curve-tiled par-strassen2-32(32-fixed-tiled-bc2)
C: z-curve-tiled par-strassen2-32(32-fixed-tiled-bc2)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.005000	0.005000	0.005000	0.005000	0.005000	59628	102562	47797	54765	20957269	0.085831	281472829255472.375000	
256	256	256	1	0.020000	0.020000	0.020000	0.020000	0.020000	176788	352381	140479	211902	111948003	0.295853	281472829255472.375000	
512	512	512	1	0.071000	0.071000	0.071000	0.071000	0.071000	687932	1679972	376028	1303944	710596936	1.365265	281472829255472.375000	
1024	1024	1024	1	0.268000	0.268000	0.268000	0.268000	0.268000	4239527	12272741	1809251	10463490	4968888781	8.611633	281472829255760.375000	
2048	2048	2048	1	1.683000	1.683000	1.683000	1.683000	1.683000	30074731	91986765	11459028	80527737	34967163700	59.731461	281472829255472.375000	
4096	4096	4096	1	11.732000	11.732000	11.732000	11.732000	11.732000	216949023	683160788	78372120	604788668	246156954844	422.268570	281472829255472.375000	
