Test config
Factor: 0
A: row-based naive
B: column-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
400	400	400	1	0.053000	0.053000	0.053000	0.053000	0.053000	1244	32114	26903	5211	580854772	1.009399	281472829270027.406250	
408	408	408	1	0.056000	0.056000	0.056000	0.056000	0.056000	1056	27781	22493	5288	614865718	1.036865	281472829270027.406250	
416	416	416	1	0.060000	0.060000	0.060000	0.060000	0.060000	1027	21705	16955	4750	651635727	1.111053	281472829270027.406250	
424	424	424	1	0.063000	0.063000	0.063000	0.063000	0.063000	910	27267	22020	5247	689878735	1.166916	281472829270027.406250	
432	432	432	1	0.067000	0.067000	0.067000	0.067000	0.067000	941	33317	28027	5290	729578931	1.237656	281472829270027.406250	
440	440	440	1	0.071000	0.071000	0.071000	0.071000	0.071000	1002	29548	23965	5583	770786386	1.313843	281472829270027.406250	
448	448	448	1	0.074000	0.074000	0.074000	0.074000	0.074000	1291	26537	20527	6010	813518598	1.388077	281472829270027.406250	
456	456	456	1	0.078000	0.078000	0.078000	0.078000	0.078000	1274	41173	32349	8824	858293045	1.450958	281472829270027.406250	
464	464	464	1	0.083000	0.083000	0.083000	0.083000	0.083000	1026	43534	35623	7911	903657061	1.516937	281472829270027.406250	
472	472	472	1	0.087000	0.087000	0.087000	0.087000	0.087000	10355	49903	32948	16955	953178068	1.606033	281472829270027.406250	
480	480	480	1	0.091000	0.091000	0.091000	0.091000	0.091000	1174	38219	27947	10272	1000238592	1.685135	281472829270027.406250	
488	488	488	1	0.096000	0.096000	0.096000	0.096000	0.096000	1696	57315	40526	16789	1051966752	1.802719	281472829270027.406250	
496	496	496	1	0.101000	0.101000	0.101000	0.101000	0.101000	1477	64172	47209	16963	1104803136	1.862350	281472829270027.406250	
504	504	504	1	0.106000	0.106000	0.106000	0.106000	0.106000	1116	59297	43042	16255	1157572616	1.963928	281472829270027.406250	
512	512	512	1	0.109000	0.109000	0.109000	0.109000	0.109000	4617	58233	40153	18080	1213541899	2.042542	281472829270027.406250	
520	520	520	1	0.116000	0.116000	0.116000	0.116000	0.116000	1276	68578	51327	17251	1271193416	2.135254	281472829270027.406250	
528	528	528	1	0.121000	0.121000	0.121000	0.121000	0.121000	1351	86917	68144	18773	1330654458	2.243164	281472829270027.406250	
536	536	536	1	0.127000	0.127000	0.127000	0.127000	0.127000	1716	100436	69889	30547	1392384400	2.342255	281472829270027.406250	
544	544	544	1	0.132000	0.132000	0.132000	0.132000	0.132000	1582	90873	65117	25756	1455157463	2.450363	281472829270027.406250	
552	552	552	1	0.139000	0.139000	0.139000	0.139000	0.139000	1917	122254	89040	33214	1520962786	2.591599	281472829270027.406250	
560	560	560	1	0.145000	0.145000	0.145000	0.145000	0.145000	2781	145274	102508	42766	1588580857	2.682373	281472829270027.406250	
