
Test config
Factor: 0
A: row-tiled64x64 par-recursive-64(tiled-bc)
B: column-tiled-64x64 recursive-64(generic-bc)
C: row-tiled64x64 par-recursive-64(tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.002000	0.002000	0.002000	0.002000	0.002000	9759	13288	5868	7420	10996689	0.041733	281472829247251.593750	
256	256	256	1	0.005000	0.005000	0.005000	0.005000	0.005000	99196	29503	15180	14323	84729796	0.163712	281472829247251.593750	
512	512	512	1	0.038000	0.038000	0.038000	0.038000	0.038000	753043	117781	41209	76572	670408947	1.128952	281472829247251.593750	
1024	1024	1024	1	0.213000	0.213000	0.213000	0.213000	0.213000	5684208	1454340	235069	1219271	5349496792	8.569641	281472829247251.593750	
2048	2048	2048	1	1.735000	1.735000	1.735000	1.735000	1.735000	43562995	15133833	1584231	13549602	42769781493	70.944260	281472829247251.593750	
4096	4096	4096	1	13.355000	13.355000	13.355000	13.355000	13.355000	345315281	77202249	15668112	61534137	342042665625	555.484100	281472829247251.593750	
