
Test config
Factor: 0
A: row-based recursive-4(generic-bc)
B: column-based recursive-4(generic-bc)
C: row-based recursive-4(generic-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.004000	0.004000	0.004000	0.004000	0.004000	13947	10951	2729	8222	37651910	0.073395	281474976649897.750000	
256	256	256	1	0.025000	0.025000	0.025000	0.025000	0.025000	349503	45363	9779	35584	298517021	0.495651	281474976649897.750000	
512	512	512	1	0.197000	0.197000	0.197000	0.197000	0.197000	5134313	175962	108104	67858	2384872318	3.931870	281474976649897.750000	
1024	1024	1024	1	1.581000	1.581000	1.581000	1.581000	1.581000	40604558	2276940	1261071	1015869	19077806103	31.335327	281474976649897.781250	
2048	2048	2048	1	12.849000	12.849000	12.849000	12.849000	12.849000	547668907	30639509	20772554	9866955	152622320687	255.788956	281474976649897.781250	
