
Test config
Factor: 0
A: z-curve-tiled strassen-32(32-simd-fixed-tiled-bc)_SIMD
B: z-curve-tiled strassen-32(32-simd-fixed-tiled-bc)_SIMD
C: z-curve-tiled strassen-32(32-simd-fixed-tiled-bc)_SIMD
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.001000	0.001000	0.001000	0.001000	0.001000	5318	11312	1487	9825	2926892	0.013153	0.000015	
256	256	256	1	0.005000	0.005000	0.005000	0.005000	0.005000	33110	22299	5327	16972	19724713	0.092789	0.000015	
512	512	512	1	0.033000	0.033000	0.033000	0.033000	0.033000	243025	345607	27555	318052	137753550	0.604752	0.000015	
1024	1024	1024	1	0.219000	0.219000	0.219000	0.219000	0.219000	1721959	4444264	243030	4201234	967188836	4.563202	281472829232388.250000	
2048	2048	2048	1	1.559000	1.559000	1.559000	1.559000	1.559000	11422442	39014475	1797995	37216480	6745795464	32.603455	0.000015	
