
Test config
Factor: 0
A: z-curve recursive-4(generic-bc)
B: z-curve recursive-4(generic-bc)
C: z-curve recursive-4(generic-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.009000	0.009000	0.009000	0.009000	0.009000	14853	12577	5071	7506	105714873	0.172714	281474976649897.750000	
256	256	256	1	0.071000	0.071000	0.071000	0.071000	0.071000	120542	50910	23645	27265	843730233	1.371307	281474976649897.750000	
512	512	512	1	0.564000	0.564000	0.564000	0.564000	0.564000	982373	191257	117551	73706	6742255597	10.701111	281474976649897.750000	
1024	1024	1024	1	4.531000	4.531000	4.531000	4.531000	4.531000	7883382	1783467	807362	976105	53930355093	85.906937	281474976649897.781250	
2048	2048	2048	1	36.225000	36.225000	36.225000	36.225000	36.225000	60935354	14047644	6679353	7368291	431476120235	689.992554	281474976649897.781250	
