
Test config
Factor: 0
A: z-curve-tiled par-strassen-32(32-fixed-tiled-bc)
B: z-curve-tiled par-strassen-32(32-fixed-tiled-bc)
C: z-curve-tiled par-strassen-32(32-fixed-tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.006000	0.006000	0.006000	0.006000	0.006000	83608	119540	54436	65104	22400152	0.138077	0.000000	
256	256	256	1	0.023000	0.023000	0.023000	0.023000	0.023000	416634	449760	176176	273584	125674099	0.391891	0.000000	
512	512	512	1	0.140000	0.140000	0.140000	0.140000	0.140000	1619722	3440058	642481	2797577	779464168	2.196945	0.000000	
1024	1024	1024	1	0.583000	0.583000	0.583000	0.583000	0.583000	6401786	18334129	2342225	15991904	5000437867	11.229294	281472829253940.687500	
2048	2048	2048	1	1.722000	1.722000	1.722000	1.722000	1.722000	30614858	108610564	11490872	97119692	33822941682	55.042450	0.000000	
