
Test config
Factor: 0
A: row-tiled64x64 recursive-64(tiled-bc)
B: column-tiled-64x64 recursive-64(generic-bc)
C: row-tiled64x64 recursive-64(tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.002000	0.002000	0.002000	0.002000	0.002000	4006	6405	1697	4708	11217322	0.036133	281474976649897.750000	
256	256	256	1	0.013000	0.013000	0.013000	0.013000	0.013000	26372	14609	2509	12100	87361093	0.258118	281474976649897.750000	
512	512	512	1	0.095000	0.095000	0.095000	0.095000	0.095000	213442	64858	7625	57233	696014130	1.895874	281474976649897.750000	
1024	1024	1024	1	0.753000	0.753000	0.753000	0.753000	0.753000	1776749	910829	25746	885083	5565958724	14.855850	281474976649897.781250	
2048	2048	2048	1	6.287000	6.287000	6.287000	6.287000	6.287000	11410887	6878286	167493	6710793	44519620163	123.609787	281474976649897.781250	
