
Test config
Factor: 0
A: z-curve-tiled par-strassen2-32(32-fixed-tiled-bc2)
B: z-curve-tiled par-strassen2-32(32-fixed-tiled-bc2)
C: z-curve-tiled par-strassen2-32(32-fixed-tiled-bc2)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.006000	0.006000	0.006000	0.006000	0.006000	53025	121817	56541	65276	22620497	0.109528	281472829229836.875000	
256	256	256	1	0.025000	0.025000	0.025000	0.025000	0.025000	160336	357743	160122	197621	109672271	0.286453	281472829229836.875000	
512	512	512	1	0.063000	0.063000	0.063000	0.063000	0.063000	675678	1759182	443710	1315472	709932083	1.502228	281472829229836.875000	
1024	1024	1024	1	0.357000	0.357000	0.357000	0.357000	0.357000	4182048	11836984	2052448	9784536	4966909631	9.828659	281472829230156.843750	
2048	2048	2048	1	2.365000	2.365000	2.365000	2.365000	2.365000	29326530	89029463	12924830	76104633	34972618486	68.672302	281472829229836.875000	
4096	4096	4096	1	16.604000	16.604000	16.604000	16.604000	16.604000	211537468	657900864	88219341	569681523	245808296537	482.227310	281472829229836.875000	
