
Test config
Factor: 0
A: row-tiled8x8 par-recursive-8(tiled-bc)
B: column-tiled-8x8 recursive-8(generic-bc)
C: row-tiled8x8 par-recursive-8(tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.003000	0.003000	0.003000	0.003000	0.003000	9033	19798	10765	9033	21936544	0.059998	281472829229836.875000	
256	256	256	1	0.010000	0.010000	0.010000	0.010000	0.010000	56389	38446	25980	12466	165534101	0.210388	281472829229836.875000	
512	512	512	1	0.059000	0.059000	0.059000	0.059000	0.059000	434984	199711	132301	67410	1317229675	1.705780	281472829229836.875000	
1024	1024	1024	1	0.466000	0.466000	0.466000	0.466000	0.466000	3521451	2269114	951220	1317894	10527432670	13.999344	281472829229836.875000	
2048	2048	2048	1	3.923000	3.923000	3.923000	3.923000	3.923000	26473981	24472754	8114527	16358227	84216849852	117.885788	281472829229836.875000	
4096	4096	4096	1	32.235000	32.235000	32.235000	32.235000	32.235000	198672284	271602970	78591000	193011970	674009525624	944.817719	281472829229836.875000	
