Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
comps_Btree_bs	1	5	0.118000	0.118000	0.118000	0.119000	0.134000	625325	18362	3100283	0	0	1.745867
comps_Btree_bs	2	5	0.124000	0.125000	0.125000	0.125000	0.142000	625348	20219	4389767	0	0	1.373040
comps_Btree_bs	4	5	0.233000	0.234000	0.234000	0.248000	0.255000	625947	27683	8386076	0	0	3.199509
comps_Btree_bs	8	5	0.308000	0.309000	0.325000	0.334000	0.335000	627490	32568	10251454	0	0	4.574854
comps_Btree_bs	16	5	0.433000	0.448000	0.449000	0.451000	0.460000	627592	44251	16562474	0	0	6.134546
comps_Btree_bs	32	5	0.628000	0.636000	0.636000	0.637000	0.646000	627380	53891	33044250	0	0	7.179701
comps_Btree_bs	64	5	0.772000	0.773000	0.774000	0.774000	0.782000	626368	65652	41473484	0	0	8.951383
comps_Btree_bs	128	5	0.885000	0.887000	0.887000	0.887000	0.887000	626231	66086	46718458	0	0	10.378604
comps_Btree_bs	256	5	1.014000	1.016000	1.017000	1.017000	1.018000	626383	68394	53298765	0	0	11.970245
comps_Btree_bs	512	5	1.125000	1.125000	1.125000	1.125000	1.126000	626941	71907	57938465	0	0	13.487748
comps_Btree_bs	1024	5	1.235000	1.236000	1.237000	1.237000	1.237000	628816	81371	62555435	0	0	14.999885
comps_Btree_bs	2048	5	1.348000	1.348000	1.348000	1.348000	1.348000	634048	87534	67589170	0	0	16.478342
comps_Btree_bs	4096	5	1.460000	1.461000	1.461000	1.461000	1.462000	687205	83850	72461677	0	0	18.031261
comps_Btree_bs	8192	5	1.578000	1.579000	1.579000	1.579000	1.579000	3441040	91118	78199344	0	0	19.481829
comps_Btree_bs	16384	5	1.707000	1.707000	1.707000	1.707000	1.707000	16993770	112876	84772726	0	0	21.001732
comps_Btree_bs	32768	5	1.834000	1.835000	1.835000	1.835000	1.860000	30899228	185124	90401329	0	0	22.509880
comps_Btree_bs	65536	5	1.986000	1.988000	1.992000	1.993000	1.993000	44281752	5249358	97129130	0	0	24.000801
comps_Btree_bs	131072	5	2.191000	2.192000	2.192000	2.192000	2.192000	57745463	18454486	105909698	0	0	25.484720
comps_Btree_bs	262144	5	2.383000	2.386000	2.389000	2.389000	2.390000	71123995	34440890	112596874	0	0	27.004296
comps_Btree_bs	524288	5	2.507000	2.507000	2.508000	2.508000	2.524000	84099230	46478300	115794317	0	0	28.503729
comps_Btree_bs	1048576	5	2.882000	2.892000	2.893000	2.894000	2.923000	97427292	60786233	122997973	0	0	29.998967
comps_Btree_bs	2097152	5	3.707000	3.708000	3.717000	3.718000	3.721000	112852802	77166545	133283574	0	0	31.498237
comps_Btree_bs	4194304	5	4.354000	4.354000	4.358000	4.360000	4.368000	128851715	94792501	140524173	0	0	33.000729
comps_Btree_bs	8388608	5	4.969000	4.978000	4.981000	4.983000	4.996000	143374704	109579460	147046671	0	0	34.501167
comps_Btree_bs	16777216	5	5.539000	5.553000	5.553000	5.554000	5.559000	158268217	124625059	152676128	0	0	36.004368
comps_Btree_bs	33554432	5	6.104000	6.111000	6.114000	6.117000	6.146000	172911181	139456466	158633880	0	0	37.506834
