Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L1 mis	L2 mis	Branch mis	TLB mis	Instructions	Comparisons
comps_Btree_lin	1	5	0.101000	0.102000	0.102000	0.119000	0.129000	625343	17856	2568450	0	0	1.370663
comps_Btree_lin	2	5	0.159000	0.160000	0.161000	0.162000	0.173000	625434	22881	7291197	0	0	2.485353
comps_Btree_lin	4	5	0.211000	0.211000	0.212000	0.212000	0.227000	625503	25818	9449204	0	0	4.529856
comps_Btree_lin	8	5	0.304000	0.320000	0.320000	0.321000	0.322000	626524	33598	11565841	0	0	8.916233
comps_Btree_lin	16	5	0.529000	0.548000	0.549000	0.550000	0.552000	627694	55830	11432057	0	0	20.783127
comps_Btree_lin	32	5	0.810000	0.831000	0.852000	0.879000	0.891000	629451	82357	11887571	0	0	34.335526
comps_Btree_lin	64	5	1.474000	1.478000	1.499000	1.507000	1.529000	630837	121577	12034334	0	0	68.121348
comps_Btree_lin	128	5	1.375000	1.377000	1.378000	1.421000	1.440000	626986	83999	16384058	0	0	61.816031
comps_Btree_lin	256	5	1.551000	1.551000	1.551000	1.552000	1.574000	627769	80199	22847973	0	0	68.708013
comps_Btree_lin	512	5	1.690000	1.693000	1.693000	1.694000	1.695000	628722	86293	33332249	0	0	72.297777
comps_Btree_lin	1024	5	1.852000	1.852000	1.855000	1.855000	1.856000	632249	86112	34799665	0	0	79.786752
comps_Btree_lin	2048	5	2.135000	2.138000	2.140000	2.140000	2.143000	644398	90370	33728433	0	0	95.460867
comps_Btree_lin	4096	5	2.768000	2.775000	2.777000	2.779000	2.792000	1074084	109683	32745611	0	0	129.092204
comps_Btree_lin	8192	5	2.854000	2.857000	2.857000	2.859000	2.864000	4777465	135422	35607839	0	0	130.505895
comps_Btree_lin	16384	5	2.895000	2.897000	2.899000	2.909000	2.912000	19822855	131404	37759899	0	0	131.538065
comps_Btree_lin	32768	5	2.977000	2.983000	2.983000	2.991000	3.002000	27898057	409919	40097554	0	0	136.269464
comps_Btree_lin	65536	5	3.141000	3.143000	3.143000	3.146000	3.148000	32309230	5163926	40129711	0	0	144.140430
comps_Btree_lin	131072	5	3.486000	3.497000	3.510000	3.826000	3.940000	36941644	19370419	41153380	0	0	161.034840
comps_Btree_lin	262144	5	4.086000	4.088000	4.187000	4.281000	4.287000	45675337	27966950	42985498	0	0	191.721095
comps_Btree_lin	524288	5	4.208000	4.208000	4.308000	4.415000	4.442000	56895508	33292345	48522957	0	0	194.063653
comps_Btree_lin	1048576	5	4.683000	4.715000	4.722000	4.731000	4.840000	63609424	37521483	54352588	0	0	196.267355
comps_Btree_lin	2097152	5	5.121000	5.127000	5.133000	5.137000	5.148000	67512448	45730834	59475554	0	0	200.537507
comps_Btree_lin	4194304	5	5.562000	5.565000	5.568000	5.583000	5.593000	70986495	56292320	58131107	0	0	209.370067
comps_Btree_lin	8388608	5	6.019000	6.022000	6.023000	6.031000	6.034000	77736536	63491439	57490422	0	0	224.959391
comps_Btree_lin	16777216	5	6.784000	6.786000	6.790000	6.803000	6.813000	87972342	67550473	56910399	0	0	255.917241
