
Test config
Factor: 0
A: row-tiled8x8 recursive-8(tiled-bc)
B: column-tiled-8x8 recursive-8(generic-bc)
C: row-tiled8x8 recursive-8(tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.004000	0.004000	0.004000	0.004000	0.004000	5971	5701	2901	2800	18095785	0.038956	281474976657293.906250	
256	256	256	1	0.024000	0.024000	0.024000	0.024000	0.024000	48722	12422	7202	5220	142815000	0.256836	281474964893077.312500	
512	512	512	1	0.106000	0.106000	0.106000	0.106000	0.106000	429762	103242	35709	67533	1140323731	2.023682	281474964893077.312500	
1024	1024	1024	1	0.850000	0.850000	0.850000	0.850000	0.850000	3220935	1208698	285655	923043	9112112085	16.259827	281474964893077.312500	
2048	2048	2048	1	6.793000	6.793000	6.793000	6.793000	6.793000	24602758	9651416	2616502	7034914	72883276591	130.650009	281474964893077.343750	
