
Test config
Factor: 0
A: z-curve-tiled par-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
B: z-curve-tiled par-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
C: z-curve-tiled par-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.006000	0.006000	0.006000	0.006000	0.006000	57259	110135	52809	57326	10922252	0.144135	281472829232649.000000	
256	256	256	1	0.012000	0.012000	0.012000	0.012000	0.012000	232407	298344	100361	197983	40269235	0.197021	281472829232649.000000	
512	512	512	1	0.025000	0.025000	0.025000	0.025000	0.025000	887764	1932667	265899	1666768	193138578	0.812057	281472829232649.000000	
1024	1024	1024	1	0.113000	0.113000	0.113000	0.113000	0.113000	5913151	14099804	1270997	12828807	1306825949	4.364136	281472829232969.000000	
2048	2048	2048	1	0.687000	0.687000	0.687000	0.687000	0.687000	43469394	110404940	8314194	102090746	9204829011	30.719147	281472829232649.000000	
4096	4096	4096	1	4.743000	4.743000	4.743000	4.743000	4.743000	322835280	821528930	59936879	761592051	65131354096	216.520966	281472829232649.000000	
