
Test config
Factor: 0
A: row-tiled8x8 recursive-8(tiled-bc)
B: column-tiled-8x8 recursive-8(generic-bc)
C: row-tiled8x8 recursive-8(tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.002000	0.002000	0.002000	0.002000	0.002000	6925	6694	1905	4789	18068707	0.036392	281474976671700.687500	
256	256	256	1	0.016000	0.016000	0.016000	0.016000	0.016000	57512	20775	7906	12869	142779218	0.237701	281474976671700.687500	
512	512	512	1	0.101000	0.101000	0.101000	0.101000	0.101000	415801	114739	42261	72478	1140491770	2.084808	281474976671700.687500	
1024	1024	1024	1	0.807000	0.807000	0.807000	0.807000	0.807000	3329603	1161724	253770	907954	9133481252	16.408722	281474976671700.687500	
2048	2048	2048	1	6.801000	6.801000	6.801000	6.801000	6.801000	24805409	9752290	2500091	7252199	72891859560	137.595901	281474976671700.718750	
