
Test config
Factor: 0
A: row-tiled8x8 parallel-recursive-8(simd-tiled-bc)
B: column-tiled-8x8 recursive-8(generic-bc)
C: row-tiled8x8 parallel-recursive-8(simd-tiled-bc)
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.001000	0.001000	0.001000	0.001000	0.001000	5325	18370	9811	8559	14314329	0.031296	0.000000	
256	256	256	1	0.004000	0.004000	0.004000	0.004000	0.004000	35658	24036	11529	12507	107652599	0.159760	0.000000	
512	512	512	1	0.029000	0.029000	0.029000	0.029000	0.029000	232644	104484	43413	61071	855666570	1.137161	0.000000	
1024	1024	1024	1	0.182000	0.182000	0.182000	0.182000	0.182000	1554944	1550490	449732	1100758	6838586846	8.832306	0.000000	
2048	2048	2048	1	1.553000	1.553000	1.553000	1.553000	1.553000	16607495	32830915	2929692	29901223	54697088541	74.229645	0.000000	
