
Test config
Factor: 0
A: z-curve-tiled hacky-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
B: z-curve-tiled hacky-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
C: z-curve-tiled hacky-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.001000	0.001000	0.001000	0.001000	0.001000	5410	14985	2148	12837	2866922	0.020569	281474976710656.000000	
256	256	256	1	0.005000	0.005000	0.005000	0.005000	0.005000	37341	57903	6573	51330	18625353	0.091049	281474976710656.000000	
512	512	512	1	0.029000	0.029000	0.029000	0.029000	0.029000	256472	348109	39323	308786	130698880	0.543304	281474976710656.000000	
1024	1024	1024	1	0.199000	0.199000	0.199000	0.199000	0.199000	1914200	4361947	249106	4112841	919052332	4.220825	281474976710656.000000	
2048	2048	2048	1	1.442000	1.442000	1.442000	1.442000	1.442000	13131091	37155861	1828105	35327756	6464384013	30.366974	281474976710656.000000	
