Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_lin	1	5	0.053000	0.053000	0.053000	0.053000	0.057000	13674	12082	10144	3530		-
ipcm_Btree_lin	2	5	0.097000	0.097000	0.097000	0.097000	0.106000	53873	14864	24122	29751		-
ipcm_Btree_lin	4	5	0.115000	0.115000	0.125000	0.133000	0.155000	463691	768350	149610	314081		-
ipcm_Btree_lin	8	5	0.127000	0.128000	0.144000	0.148000	0.152000	359369	599322	120108	239261		-
ipcm_Btree_lin	16	5	0.188000	0.198000	0.200000	0.200000	0.229000	381100	649897	142102	238998		-
ipcm_Btree_lin	32	5	0.227000	0.234000	0.238000	0.241000	0.247000	338004	525590	137496	200508		-
ipcm_Btree_lin	64	5	0.252000	0.260000	0.260000	0.267000	0.279000	184477	267960	33730	150747		-
ipcm_Btree_lin	128	5	0.319000	0.320000	0.322000	0.340000	0.343000	161236	231111	28373	132863		-
ipcm_Btree_lin	256	5	0.372000	0.381000	0.382000	0.383000	0.389000	730858	1259220	212867	517991		-
ipcm_Btree_lin	512	5	0.421000	0.421000	0.421000	0.429000	0.432000	464925	771669	145898	319027		-
ipcm_Btree_lin	1024	5	0.485000	0.485000	0.487000	0.503000	0.544000	482377	804071	150598	331779		-
ipcm_Btree_lin	2048	5	0.541000	0.545000	0.551000	0.551000	0.555000	1342572	2591999	423254	919318		-
ipcm_Btree_lin	4096	5	0.567000	0.568000	0.568000	0.568000	0.574000	499062	1055642	154577	344485		-
ipcm_Btree_lin	8192	5	0.626000	0.626000	0.626000	0.641000	0.659000	585861	5263481	156570	429291		-
ipcm_Btree_lin	16384	5	0.678000	0.681000	0.682000	0.692000	0.711000	537535	8281640	145376	392159		-
ipcm_Btree_lin	32768	5	0.725000	0.725000	0.730000	0.734000	0.759000	814562	11523389	148999	665563		-
ipcm_Btree_lin	65536	5	0.816000	0.835000	0.837000	0.843000	0.852000	4537621	13351679	313882	4223739		-
ipcm_Btree_lin	131072	5	0.954000	0.968000	0.975000	0.979000	0.992000	8980260	12708862	324560	8655700		-
ipcm_Btree_lin	262144	5	1.051000	1.077000	1.085000	1.112000	1.112000	12938381	12485534	558600	12379781		-
ipcm_Btree_lin	524288	5	1.293000	1.297000	1.298000	1.299000	1.304000	15360578	10316737	1575708	13784870		-
ipcm_Btree_lin	1048576	5	1.424000	1.427000	1.433000	1.443000	1.466000	17801134	10161206	2087006	15714128		-
ipcm_Btree_lin	2097152	5	1.899000	1.900000	1.901000	1.913000	1.921000	20150383	9355344	5766352	14384031		-
ipcm_Btree_lin	4194304	5	2.359000	2.366000	2.366000	2.367000	2.370000	23578357	8925541	9614989	13963368		-
ipcm_Btree_lin	8388608	5	2.646000	2.647000	2.655000	2.656000	2.657000	26533185	8685568	12638171	13895014		-
ipcm_Btree_lin	16777216	5	2.979000	2.984000	2.987000	2.990000	2.995000	29488041	8194681	15915766	13572275		-
