Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_bs	1	5	0.136000	0.139000	0.143000	0.148000	0.159000	491893	855854	151217	340676		-
ipcm_Btree_bs	2	5	0.192000	0.199000	0.205000	0.206000	0.225000	766783	1385350	257455	509328		-
ipcm_Btree_bs	4	5	0.211000	0.217000	0.225000	0.228000	0.235000	781116	1414448	252139	528977		-
ipcm_Btree_bs	8	5	0.232000	0.232000	0.245000	0.247000	0.247000	863002	1538059	273330	589672		-
ipcm_Btree_bs	16	5	0.307000	0.308000	0.312000	0.327000	0.336000	976226	1761251	301182	675044		-
ipcm_Btree_bs	32	5	0.427000	0.427000	0.435000	0.436000	0.463000	1261524	2255387	398072	863452		-
ipcm_Btree_bs	64	5	0.475000	0.478000	0.483000	0.483000	0.485000	1284982	2266843	401874	883108		-
ipcm_Btree_bs	128	5	0.516000	0.517000	0.527000	0.538000	0.541000	1293933	2265999	397614	896319		-
ipcm_Btree_bs	256	5	0.554000	0.555000	0.555000	0.556000	0.567000	1281616	2278324	396814	884802		-
ipcm_Btree_bs	512	5	0.730000	0.731000	0.735000	0.741000	0.754000	1338735	2378624	404761	933974		-
ipcm_Btree_bs	1024	5	0.777000	0.778000	0.779000	0.790000	0.793000	1294082	2344848	405468	888614		-
ipcm_Btree_bs	2048	5	0.811000	0.812000	0.814000	0.832000	0.845000	1300616	2455939	404065	896551		-
ipcm_Btree_bs	4096	5	0.848000	0.854000	0.854000	0.855000	0.857000	1301284	2752852	404610	896674		-
ipcm_Btree_bs	8192	5	1.024000	1.025000	1.030000	1.030000	1.032000	1743756	5153969	535893	1207863		-
ipcm_Btree_bs	16384	5	1.071000	1.075000	1.076000	1.076000	1.080000	1871952	9022915	538888	1333064		-
ipcm_Btree_bs	32768	5	1.108000	1.114000	1.116000	1.125000	1.158000	2205604	11816820	538887	1666717		-
ipcm_Btree_bs	65536	5	1.188000	1.195000	1.202000	1.204000	1.208000	3829825	13637605	584868	3244957		-
ipcm_Btree_bs	131072	5	1.451000	1.451000	1.455000	1.457000	1.463000	7960895	12917051	600148	7360747		-
ipcm_Btree_bs	262144	5	1.532000	1.542000	1.542000	1.547000	1.573000	11265667	13248548	857071	10408596		-
ipcm_Btree_bs	524288	5	1.612000	1.652000	1.660000	1.673000	1.677000	14254079	12457995	1240095	13013984		-
ipcm_Btree_bs	1048576	5	1.894000	1.903000	1.904000	1.918000	1.924000	18116813	12724225	2882996	15233817		-
ipcm_Btree_bs	2097152	5	2.455000	2.520000	2.531000	2.541000	2.559000	21537295	13604712	7140879	14396416		-
ipcm_Btree_bs	4194304	5	2.882000	2.896000	2.902000	2.911000	2.916000	24768934	12902783	10342053	14426881		-
ipcm_Btree_bs	8388608	5	3.126000	3.171000	3.181000	3.243000	3.327000	27740516	14108298	13650166	14090350		-
ipcm_Btree_bs	16777216	5	3.404000	3.439000	3.509000	3.517000	3.566000	30806367	14748835	16906843	13899524		-
