Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_linrec	1	5	0.206000	0.218000	0.219000	0.220000	0.228000	759938	1346518	251099	508839		-
ipcm_Btree_linrec	2	5	0.115000	0.120000	0.120000	0.124000	0.125000	434645	782770	152954	281691		-
ipcm_Btree_linrec	4	5	0.107000	0.112000	0.115000	0.119000	0.124000	424851	748763	149108	275743		-
ipcm_Btree_linrec	8	5	0.159000	0.160000	0.169000	0.180000	0.191000	592941	1040394	199889	393052		-
ipcm_Btree_linrec	16	5	0.235000	0.236000	0.244000	0.258000	0.260000	883988	1534612	290491	593497		-
ipcm_Btree_linrec	32	5	0.319000	0.319000	0.335000	0.339000	0.341000	1206756	2116270	393051	813705		-
ipcm_Btree_linrec	64	5	0.476000	0.476000	0.476000	0.484000	0.492000	1294644	2248254	407068	887576		-
ipcm_Btree_linrec	128	5	0.590000	0.592000	0.598000	0.598000	0.603000	1273985	2104328	379047	894938		-
ipcm_Btree_linrec	256	5	0.652000	0.653000	0.655000	0.661000	0.673000	1113229	1897729	370959	742270		-
ipcm_Btree_linrec	512	5	0.685000	0.695000	0.695000	0.698000	0.721000	1310234	2248445	401203	909031		-
ipcm_Btree_linrec	1024	5	0.750000	0.750000	0.760000	0.773000	0.774000	1306139	2259972	402825	903314		-
ipcm_Btree_linrec	2048	5	0.825000	0.826000	0.826000	0.830000	0.842000	1318373	2312428	404972	913401		-
ipcm_Btree_linrec	4096	5	0.953000	0.968000	0.969000	0.984000	0.984000	1320323	2459959	406043	914280		-
ipcm_Btree_linrec	8192	5	1.117000	1.132000	1.133000	1.134000	1.135000	1742802	4465746	535952	1206850		-
ipcm_Btree_linrec	16384	5	1.188000	1.191000	1.193000	1.203000	1.205000	1787911	8719210	546000	1241911		-
ipcm_Btree_linrec	32768	5	1.205000	1.218000	1.218000	1.221000	1.225000	1926303	11010364	550151	1376152		-
ipcm_Btree_linrec	65536	5	1.282000	1.297000	1.297000	1.299000	1.300000	3452586	10480118	560490	2892096		-
ipcm_Btree_linrec	131072	5	1.427000	1.428000	1.433000	1.443000	1.445000	7397871	8172741	590948	6806923		-
ipcm_Btree_linrec	262144	5	1.613000	1.628000	1.629000	1.636000	1.636000	10258672	9062880	809502	9449170		-
ipcm_Btree_linrec	524288	5	1.751000	1.776000	1.786000	1.807000	1.812000	11231910	10347642	915011	10316899		-
ipcm_Btree_linrec	1048576	5	1.989000	2.067000	2.088000	2.101000	2.128000	12782333	11549636	2274676	10507657		-
ipcm_Btree_linrec	2097152	5	2.722000	2.744000	2.751000	2.756000	2.757000	16448734	11437824	6947955	9500779		-
ipcm_Btree_linrec	4194304	5	3.079000	3.104000	3.120000	3.127000	3.144000	19506622	9425774	9157114	10349508		-
ipcm_Btree_linrec	8388608	5	3.365000	3.407000	3.415000	3.420000	3.428000	21974999	10180019	10662245	11312754		-
ipcm_Btree_linrec	16777216	5	3.810000	3.875000	3.879000	3.883000	3.893000	23368662	11341848	12629254	10739408		-
