Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_DFS_lin	1	5	0.078000	0.078000	0.079000	0.090000	0.111000	54917	41418	25937	28980		-
ipcm_DFS_lin	2	5	0.091000	0.091000	0.091000	0.091000	0.108000	19509	26139	11811	7698		-
ipcm_DFS_lin	4	5	0.108000	0.108000	0.108000	0.111000	0.133000	69177	28668	21243	47934		-
ipcm_DFS_lin	8	5	0.141000	0.146000	0.151000	0.159000	0.160000	135950	192777	30393	105557		-
ipcm_DFS_lin	16	5	0.181000	0.182000	0.183000	0.196000	0.196000	71332	30539	20035	51297		-
ipcm_DFS_lin	32	5	0.232000	0.233000	0.234000	0.246000	0.247000	56001	14923	19347	36654		-
ipcm_DFS_lin	64	5	0.281000	0.281000	0.285000	0.293000	0.293000	270729	442940	60339	210390		-
ipcm_DFS_lin	128	5	0.337000	0.340000	0.341000	0.341000	0.342000	144903	32046	19665	125238		-
ipcm_DFS_lin	256	5	0.370000	0.374000	0.374000	0.375000	0.375000	31996	12374	12186	19810		-
ipcm_DFS_lin	512	5	0.413000	0.416000	0.417000	0.418000	0.419000	38013	11382	12434	25579		-
ipcm_DFS_lin	1024	5	0.462000	0.462000	0.464000	0.466000	0.467000	44406	16029	14582	29824		-
ipcm_DFS_lin	2048	5	0.521000	0.525000	0.538000	0.540000	0.545000	426786	484931	67312	359474		-
ipcm_DFS_lin	4096	5	0.570000	0.570000	0.573000	0.580000	0.583000	960524	1817286	269349	691175		-
ipcm_DFS_lin	8192	5	0.650000	0.651000	0.652000	0.657000	0.658000	1301709	4292461	398883	902826		-
ipcm_DFS_lin	16384	5	0.702000	0.703000	0.704000	0.723000	0.735000	1386073	8313956	396051	990022		-
ipcm_DFS_lin	32768	5	0.755000	0.762000	0.765000	0.772000	0.777000	1783094	11604303	407912	1375182		-
ipcm_DFS_lin	65536	5	0.814000	0.823000	0.825000	0.827000	0.839000	3741775	13733513	414785	3326990		-
ipcm_DFS_lin	131072	5	0.964000	0.968000	0.968000	0.978000	0.997000	7621979	12969265	444420	7177559		-
ipcm_DFS_lin	262144	5	1.063000	1.067000	1.067000	1.068000	1.068000	11386192	11868005	552179	10834013		-
ipcm_DFS_lin	524288	5	1.192000	1.198000	1.204000	1.216000	1.228000	15159338	11258931	866725	14292613		-
ipcm_DFS_lin	1048576	5	1.434000	1.439000	1.468000	1.469000	1.478000	18815132	11765417	2863991	15951141		-
ipcm_DFS_lin	2097152	5	1.969000	1.973000	1.987000	1.993000	2.007000	22326306	11264649	7176924	15149382		-
ipcm_DFS_lin	4194304	5	2.370000	2.381000	2.390000	2.400000	2.410000	24500467	10490351	10786962	13713505		-
ipcm_DFS_lin	8388608	5	2.724000	2.728000	2.746000	2.752000	2.764000	28258497	12910055	15075538	13182959		-
ipcm_DFS_lin	16777216	5	3.059000	3.073000	3.074000	3.090000	3.118000	32267080	15147306	18693336	13573744		-
