Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_bs	1	5	0.068000	0.069000	0.069000	0.069000	0.085000	16954	2794	10985	5969		-
ipcm_Btree_bs	2	5	0.113000	0.123000	0.125000	0.126000	0.133000	18786	2123	8316	10470		-
ipcm_Btree_bs	4	5	0.177000	0.178000	0.179000	0.186000	0.192000	22992	1881	9201	13791		-
ipcm_Btree_bs	8	5	0.187000	0.187000	0.187000	0.187000	0.188000	22942	5085	9512	13430		-
ipcm_Btree_bs	16	5	0.295000	0.297000	0.298000	0.306000	0.322000	93789	21149	16086	77703		-
ipcm_Btree_bs	32	5	0.399000	0.405000	0.412000	0.414000	0.418000	1036432	1580768	300756	735676		-
ipcm_Btree_bs	64	5	0.469000	0.471000	0.474000	0.476000	0.505000	1029329	1777484	287876	741453		-
ipcm_Btree_bs	128	5	0.587000	0.600000	0.602000	0.612000	0.616000	449472	723660	148720	300752		-
ipcm_Btree_bs	256	5	0.665000	0.667000	0.674000	0.679000	0.688000	452959	747285	136887	316072		-
ipcm_Btree_bs	512	5	0.717000	0.722000	0.722000	0.723000	0.727000	453637	758470	134657	318980		-
ipcm_Btree_bs	1024	5	0.806000	0.807000	0.807000	0.807000	0.807000	49709	19646	10316	39393		-
ipcm_Btree_bs	2048	5	0.855000	0.856000	0.858000	0.860000	0.865000	51785	21337	10591	41194		-
ipcm_Btree_bs	4096	5	0.949000	0.950000	0.953000	0.953000	0.953000	62268	75942	10393	51875		-
ipcm_Btree_bs	8192	5	1.032000	1.032000	1.033000	1.035000	1.036000	56840	2058498	10207	46633		-
ipcm_Btree_bs	16384	5	1.095000	1.096000	1.101000	1.101000	1.101000	103061	10264762	10662	92399		-
ipcm_Btree_bs	32768	5	1.197000	1.198000	1.199000	1.201000	1.204000	135712	18563692	10587	125125		-
ipcm_Btree_bs	65536	5	1.319000	1.319000	1.321000	1.322000	1.325000	3441038	22461975	15166	3425872		-
ipcm_Btree_bs	131072	5	1.436000	1.436000	1.439000	1.440000	1.442000	9156373	22638258	17760	9138613		-
ipcm_Btree_bs	262144	5	1.590000	1.590000	1.591000	1.592000	1.595000	14176925	22487780	21144	14155781		-
ipcm_Btree_bs	524288	5	1.653000	1.653000	1.658000	1.659000	1.659000	18885158	21512722	33117	18852041		-
ipcm_Btree_bs	1048576	5	1.955000	1.960000	1.965000	1.967000	1.995000	23415875	21064815	1205233	22210642		-
ipcm_Btree_bs	2097152	5	2.650000	2.659000	2.662000	2.669000	2.676000	28472632	20365522	5775451	22697181		-
ipcm_Btree_bs	4194304	5	3.080000	3.089000	3.096000	3.104000	3.208000	31064089	18678789	9159877	21904212		-
ipcm_Btree_bs	8388608	5	3.651000	3.656000	3.692000	3.701000	3.769000	38771445	27756656	15687315	23084130		-
ipcm_Btree_bs	16777216	5	3.939000	3.955000	3.967000	4.046000	4.106000	37346852	19394504	16527733	20819119		-
