Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_linrec	1	5	0.082000	0.091000	0.099000	0.115000	0.128000	295900	566866	114350	181550		-
ipcm_Btree_linrec	2	5	0.077000	0.079000	0.080000	0.089000	0.095000	173129	298499	37989	135140		-
ipcm_Btree_linrec	4	5	0.106000	0.111000	0.112000	0.112000	0.118000	356172	567868	141332	214840		-
ipcm_Btree_linrec	8	5	0.147000	0.151000	0.152000	0.159000	0.200000	574682	1003679	194037	380645		-
ipcm_Btree_linrec	16	5	0.207000	0.207000	0.208000	0.211000	0.231000	641865	1115675	203564	438301		-
ipcm_Btree_linrec	32	5	0.250000	0.251000	0.251000	0.282000	0.289000	882292	1535320	285382	596910		-
ipcm_Btree_linrec	64	5	0.297000	0.309000	0.316000	0.318000	0.322000	1148622	1993297	396909	751713		-
ipcm_Btree_linrec	128	5	0.389000	0.398000	0.398000	0.399000	0.409000	1296452	2261124	415547	880905		-
ipcm_Btree_linrec	256	5	0.465000	0.473000	0.474000	0.476000	0.477000	1295213	2279263	420414	874799		-
ipcm_Btree_linrec	512	5	0.529000	0.537000	0.537000	0.539000	0.543000	1312687	2283054	420566	892121		-
ipcm_Btree_linrec	1024	5	0.585000	0.595000	0.599000	0.617000	0.622000	1319853	2323058	411655	908198		-
ipcm_Btree_linrec	2048	5	0.640000	0.650000	0.663000	0.672000	0.673000	1436947	2657386	428895	1008052		-
ipcm_Btree_linrec	4096	5	0.696000	0.697000	0.697000	0.698000	0.738000	1333080	2967672	417287	915793		-
ipcm_Btree_linrec	8192	5	0.750000	0.750000	0.751000	0.760000	0.762000	1372815	6087186	431785	941030		-
ipcm_Btree_linrec	16384	5	0.811000	0.812000	0.813000	0.814000	0.820000	1536707	13277607	439760	1096947		-
ipcm_Btree_linrec	32768	5	0.873000	0.877000	0.877000	0.886000	0.892000	2436254	18791469	446567	1989687		-
ipcm_Btree_linrec	65536	5	0.938000	0.940000	0.941000	0.944000	0.957000	3240250	23709936	476516	2763734		-
ipcm_Btree_linrec	131072	5	1.057000	1.070000	1.074000	1.079000	1.095000	10982034	25218738	618536	10363498		-
ipcm_Btree_linrec	262144	5	1.200000	1.208000	1.210000	1.214000	1.224000	15989804	25036127	885152	15104652		-
ipcm_Btree_linrec	524288	5	1.290000	1.291000	1.298000	1.298000	1.354000	18308780	22734727	997707	17311073		-
ipcm_Btree_linrec	1048576	5	1.711000	1.737000	1.757000	1.758000	1.766000	22803021	22664587	3269585	19533436		-
ipcm_Btree_linrec	2097152	5	2.188000	2.229000	2.243000	2.254000	2.278000	26627736	22720522	6619893	20007843		-
ipcm_Btree_linrec	4194304	5	2.595000	2.636000	2.640000	2.651000	2.656000	29577314	22224943	9614348	19962966		-
ipcm_Btree_linrec	8388608	5	2.942000	2.944000	2.972000	2.987000	3.009000	31615153	21401150	12047518	19567635		-
ipcm_Btree_linrec	16777216	5	3.287000	3.317000	3.325000	3.345000	3.346000	34665727	21759911	14714956	19950771		-
