Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_bs	1	5	0.107000	0.108000	0.108000	0.115000	0.120000	412972	728049	145238	267734		-
ipcm_Btree_bs	2	5	0.179000	0.180000	0.188000	0.191000	0.195000	597235	1051577	178091	419144		-
ipcm_Btree_bs	4	5	0.176000	0.187000	0.191000	0.211000	0.220000	721036	1314788	252109	468927		-
ipcm_Btree_bs	8	5	0.214000	0.227000	0.231000	0.232000	0.239000	818107	1487320	269061	549046		-
ipcm_Btree_bs	16	5	0.346000	0.357000	0.364000	0.374000	0.378000	1261936	2241608	391426	870510		-
ipcm_Btree_bs	32	5	0.374000	0.375000	0.375000	0.383000	0.394000	866800	1514820	266312	600488		-
ipcm_Btree_bs	64	5	0.424000	0.426000	0.432000	0.432000	0.435000	1229541	2169486	385878	843663		-
ipcm_Btree_bs	128	5	0.592000	0.596000	0.607000	0.635000	0.655000	1298797	2257172	406573	892224		-
ipcm_Btree_bs	256	5	0.641000	0.643000	0.661000	0.668000	0.676000	1290251	2213800	395774	894477		-
ipcm_Btree_bs	512	5	0.674000	0.677000	0.680000	0.696000	0.714000	1286802	2212820	392014	894788		-
ipcm_Btree_bs	1024	5	0.825000	0.825000	0.825000	0.833000	0.844000	1283136	2349488	395236	887900		-
ipcm_Btree_bs	2048	5	0.860000	0.861000	0.864000	0.865000	0.882000	1296926	2465261	394419	902507		-
ipcm_Btree_bs	4096	5	0.895000	0.902000	0.904000	0.905000	0.909000	1316653	2786649	372771	943882		-
ipcm_Btree_bs	8192	5	1.062000	1.063000	1.072000	1.076000	1.093000	1583072	5024701	469523	1113549		-
ipcm_Btree_bs	16384	5	1.094000	1.102000	1.104000	1.106000	1.111000	1929502	9771898	545006	1384496		-
ipcm_Btree_bs	32768	5	1.149000	1.154000	1.157000	1.160000	1.162000	2493961	13538958	548705	1945256		-
ipcm_Btree_bs	65536	5	1.351000	1.354000	1.363000	1.365000	1.383000	4245633	16133058	582762	3662871		-
ipcm_Btree_bs	131072	5	1.442000	1.444000	1.446000	1.450000	1.464000	8428012	15883648	607064	7820948		-
ipcm_Btree_bs	262144	5	1.541000	1.548000	1.557000	1.560000	1.584000	12763811	15980787	853596	11910215		-
ipcm_Btree_bs	524288	5	1.663000	1.665000	1.690000	1.700000	1.704000	16729945	15610138	1348590	15381355		-
ipcm_Btree_bs	1048576	5	2.007000	2.023000	2.035000	2.035000	2.037000	20126773	15549765	2654808	17471965		-
ipcm_Btree_bs	2097152	5	2.535000	2.544000	2.549000	2.555000	2.578000	24008980	15995316	6892298	17116682		-
ipcm_Btree_bs	4194304	5	2.936000	2.946000	2.949000	2.955000	2.956000	27427809	16446613	10981352	16446457		-
ipcm_Btree_bs	8388608	5	3.345000	3.349000	3.355000	3.366000	3.378000	30517201	16385829	13949669	16567532		-
ipcm_Btree_bs	16777216	5	3.658000	3.666000	3.683000	3.687000	3.690000	33811025	17278362	17358038	16452987		-
