Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_lin	1	5	0.048000	0.061000	0.070000	0.071000	0.077000	141327	237288	31669	109658		-
ipcm_Btree_lin	2	5	0.095000	0.099000	0.099000	0.100000	0.135000	394302	739438	147571	246731		-
ipcm_Btree_lin	4	5	0.123000	0.127000	0.139000	0.139000	0.144000	441406	846397	150289	291117		-
ipcm_Btree_lin	8	5	0.137000	0.137000	0.137000	0.138000	0.146000	20266	4141	11013	9253		-
ipcm_Btree_lin	16	5	0.175000	0.188000	0.190000	0.211000	0.228000	723025	1297844	254917	468108		-
ipcm_Btree_lin	32	5	0.235000	0.236000	0.236000	0.239000	0.247000	858485	1523611	275162	583323		-
ipcm_Btree_lin	64	5	0.279000	0.296000	0.296000	0.298000	0.305000	870405	1523663	279662	590743		-
ipcm_Btree_lin	128	5	0.356000	0.362000	0.363000	0.365000	0.366000	1278914	2260304	408387	870527		-
ipcm_Btree_lin	256	5	0.404000	0.415000	0.415000	0.428000	0.430000	1282813	2297025	404223	878590		-
ipcm_Btree_lin	512	5	0.446000	0.450000	0.457000	0.457000	0.459000	1294208	2310663	409481	884727		-
ipcm_Btree_lin	1024	5	0.526000	0.526000	0.526000	0.529000	0.543000	1294168	2367796	402077	892091		-
ipcm_Btree_lin	2048	5	0.563000	0.564000	0.569000	0.575000	0.580000	1299598	2645542	403569	896029		-
ipcm_Btree_lin	4096	5	0.595000	0.599000	0.600000	0.601000	0.609000	467608	2638636	146855	320753		-
ipcm_Btree_lin	8192	5	0.648000	0.668000	0.668000	0.673000	0.674000	1468821	6405645	472015	996806		-
ipcm_Btree_lin	16384	5	0.714000	0.729000	0.730000	0.758000	0.759000	1574131	11366260	445135	1128996		-
ipcm_Btree_lin	32768	5	0.755000	0.756000	0.767000	0.787000	0.814000	877884	12391801	150094	727790		-
ipcm_Btree_lin	65536	5	0.826000	0.841000	0.856000	0.884000	0.886000	3420944	15184721	301821	3119123		-
ipcm_Btree_lin	131072	5	0.947000	0.953000	0.954000	0.955000	0.965000	7007111	14923826	162467	6844644		-
ipcm_Btree_lin	262144	5	1.022000	1.030000	1.046000	1.048000	1.058000	11465031	13219190	353164	11111867		-
ipcm_Btree_lin	524288	5	1.280000	1.336000	1.348000	1.351000	1.401000	16783327	15997780	2221533	14561794		-
ipcm_Btree_lin	1048576	5	1.787000	1.787000	1.803000	1.822000	1.824000	19735789	11404064	4490810	15244979		-
ipcm_Btree_lin	2097152	5	2.105000	2.107000	2.112000	2.150000	2.186000	19924385	9256272	6328602	13595783		-
ipcm_Btree_lin	4194304	5	2.396000	2.398000	2.398000	2.403000	2.413000	22613836	8335159	8917879	13695957		-
ipcm_Btree_lin	8388608	5	2.685000	2.696000	2.700000	2.701000	2.705000	25022040	7835451	11306613	13715427		-
ipcm_Btree_lin	16777216	5	2.970000	2.974000	2.976000	2.976000	2.983000	26485880	7989571	13522894	12962986		-
