Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_DFS_lin	1	5	0.095000	0.102000	0.103000	0.105000	0.128000	377818	687858	139193	238625		-
ipcm_DFS_lin	2	5	0.108000	0.115000	0.120000	0.127000	0.127000	395751	726159	145047	250704		-
ipcm_DFS_lin	4	5	0.119000	0.119000	0.119000	0.120000	0.121000	449186	818544	144710	304476		-
ipcm_DFS_lin	8	5	0.190000	0.196000	0.197000	0.207000	0.232000	738452	1331124	254760	483692		-
ipcm_DFS_lin	16	5	0.230000	0.235000	0.240000	0.240000	0.244000	861690	1536240	274131	587559		-
ipcm_DFS_lin	32	5	0.268000	0.281000	0.290000	0.290000	0.292000	1058647	1900008	367396	691251		-
ipcm_DFS_lin	64	5	0.304000	0.310000	0.311000	0.314000	0.330000	936825	1679247	284005	652820		-
ipcm_DFS_lin	128	5	0.380000	0.394000	0.396000	0.401000	0.403000	1354704	2403501	392270	962434		-
ipcm_DFS_lin	256	5	0.419000	0.426000	0.426000	0.427000	0.435000	1266911	2277714	402778	864133		-
ipcm_DFS_lin	512	5	0.464000	0.468000	0.477000	0.483000	0.499000	1286603	2276860	401180	885423		-
ipcm_DFS_lin	1024	5	0.516000	0.527000	0.541000	0.542000	0.548000	1296208	2312263	402206	894002		-
ipcm_DFS_lin	2048	5	0.574000	0.575000	0.579000	0.579000	0.583000	1311502	2425835	406696	904806		-
ipcm_DFS_lin	4096	5	0.636000	0.640000	0.650000	0.655000	0.670000	1092687	2215980	361781	730906		-
ipcm_DFS_lin	8192	5	0.685000	0.688000	0.689000	0.690000	0.702000	1447656	4839844	425462	1022194		-
ipcm_DFS_lin	16384	5	0.773000	0.776000	0.777000	0.782000	0.808000	1364637	10287714	414395	950242		-
ipcm_DFS_lin	32768	5	0.821000	0.822000	0.823000	0.824000	0.853000	1666001	15083205	411288	1254713		-
ipcm_DFS_lin	65536	5	0.887000	0.894000	0.898000	0.905000	0.908000	3624632	19245185	553747	3070885		-
ipcm_DFS_lin	131072	5	1.045000	1.056000	1.056000	1.057000	1.058000	8894872	18169803	572525	8322347		-
ipcm_DFS_lin	262144	5	1.121000	1.146000	1.147000	1.153000	1.163000	13867478	16660670	492940	13374538		-
ipcm_DFS_lin	524288	5	1.297000	1.302000	1.304000	1.304000	1.309000	19354819	16298376	916292	18438527		-
ipcm_DFS_lin	1048576	5	1.523000	1.574000	1.588000	1.606000	1.623000	24216768	15643366	2423389	21793379		-
ipcm_DFS_lin	2097152	5	2.224000	2.225000	2.239000	2.257000	2.261000	29408966	17091561	8382995	21025971		-
ipcm_DFS_lin	4194304	5	2.712000	2.719000	2.721000	2.734000	2.767000	33891534	17166057	13946570	19944964		-
ipcm_DFS_lin	8388608	5	3.118000	3.174000	3.183000	3.193000	3.264000	38385147	16831592	19079643	19305504		-
ipcm_DFS_lin	16777216	5	3.515000	3.541000	3.543000	3.566000	3.586000	42416527	16815341	23147950	19268577		-
