Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_linrec	1	5	0.106000	0.106000	0.107000	0.107000	0.107000	20745	4101	12341	8404		-
ipcm_Btree_linrec	2	5	0.104000	0.104000	0.104000	0.104000	0.106000	16738	2939	12070	4668		-
ipcm_Btree_linrec	4	5	0.088000	0.088000	0.089000	0.089000	0.089000	19623	12043	12395	7228		-
ipcm_Btree_linrec	8	5	0.129000	0.129000	0.130000	0.131000	0.131000	23288	25343	13569	9719		-
ipcm_Btree_linrec	16	5	0.204000	0.205000	0.205000	0.205000	0.205000	30246	3432	13403	16843		-
ipcm_Btree_linrec	32	5	0.218000	0.220000	0.220000	0.227000	0.228000	31205	3894	13526	17679		-
ipcm_Btree_linrec	64	5	0.251000	0.252000	0.253000	0.253000	0.254000	32525	2454	12954	19571		-
ipcm_Btree_linrec	128	5	0.342000	0.344000	0.345000	0.345000	0.347000	35492	2321	11727	23765		-
ipcm_Btree_linrec	256	5	0.379000	0.380000	0.383000	0.383000	0.384000	48023	3479	13463	34560		-
ipcm_Btree_linrec	512	5	0.419000	0.430000	0.437000	0.447000	0.447000	1100863	1724637	305421	795442		-
ipcm_Btree_linrec	1024	5	0.517000	0.520000	0.527000	0.529000	0.534000	1283016	2336315	392010	891006		-
ipcm_Btree_linrec	2048	5	0.562000	0.571000	0.572000	0.573000	0.584000	1286592	2459522	394768	891824		-
ipcm_Btree_linrec	4096	5	0.610000	0.611000	0.612000	0.621000	0.622000	1320438	2801761	406158	914280		-
ipcm_Btree_linrec	8192	5	0.712000	0.717000	0.719000	0.720000	0.720000	1325457	4734888	400289	925168		-
ipcm_Btree_linrec	16384	5	0.770000	0.774000	0.777000	0.780000	0.804000	1424049	9179237	403836	1020213		-
ipcm_Btree_linrec	32768	5	0.820000	0.824000	0.829000	0.831000	0.838000	1095976	12292001	303940	792036		-
ipcm_Btree_linrec	65536	5	0.961000	0.966000	0.967000	0.974000	0.987000	4662042	14418698	434534	4227508		-
ipcm_Btree_linrec	131072	5	1.057000	1.058000	1.075000	1.078000	1.088000	9032337	15408974	591402	8440935		-
ipcm_Btree_linrec	262144	5	1.177000	1.178000	1.180000	1.180000	1.184000	12923747	14857532	826611	12097136		-
ipcm_Btree_linrec	524288	5	1.271000	1.274000	1.276000	1.289000	1.312000	15546417	15151715	1328221	14218196		-
ipcm_Btree_linrec	1048576	5	1.667000	1.668000	1.673000	1.688000	1.694000	18772592	14630730	3424592	15348000		-
ipcm_Btree_linrec	2097152	5	2.119000	2.134000	2.141000	2.154000	2.188000	22965134	14778513	6759433	16205701		-
ipcm_Btree_linrec	4194304	5	2.574000	2.578000	2.587000	2.588000	2.606000	26269955	15655509	10695092	15574863		-
ipcm_Btree_linrec	8388608	5	2.883000	2.897000	2.907000	2.919000	2.937000	29340532	15285655	13923981	15416551		-
ipcm_Btree_linrec	16777216	5	3.212000	3.232000	3.238000	3.254000	3.265000	32714002	16112649	17253923	15460079		-
