Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_Btree_bs	1	5	0.175000	0.176000	0.188000	0.194000	0.200000	736247	1328067	258344	477903		-
ipcm_Btree_bs	2	5	0.232000	0.242000	0.244000	0.244000	0.250000	864896	1555480	276986	587910		-
ipcm_Btree_bs	4	5	0.255000	0.261000	0.268000	0.270000	0.300000	914176	1654032	311599	602577		-
ipcm_Btree_bs	8	5	0.269000	0.276000	0.279000	0.280000	0.284000	952369	1677973	284222	668147		-
ipcm_Btree_bs	16	5	0.315000	0.316000	0.317000	0.326000	0.327000	853325	1539987	273644	579681		-
ipcm_Btree_bs	32	5	0.354000	0.360000	0.362000	0.369000	0.392000	892113	1600036	284689	607424		-
ipcm_Btree_bs	64	5	0.388000	0.390000	0.391000	0.395000	0.396000	861946	1531771	278362	583584		-
ipcm_Btree_bs	128	5	0.596000	0.598000	0.599000	0.599000	0.608000	1273515	2274107	401823	871692		-
ipcm_Btree_bs	256	5	0.640000	0.641000	0.641000	0.642000	0.645000	1294138	2276163	401033	893105		-
ipcm_Btree_bs	512	5	0.673000	0.674000	0.676000	0.677000	0.690000	1173628	2081287	390040	783588		-
ipcm_Btree_bs	1024	5	0.707000	0.711000	0.713000	0.724000	0.738000	1308809	2344573	406834	901975		-
ipcm_Btree_bs	2048	5	0.743000	0.743000	0.746000	0.747000	0.756000	1301359	2475641	408981	892378		-
ipcm_Btree_bs	4096	5	0.777000	0.779000	0.780000	0.781000	0.782000	1322533	2849272	419969	902564		-
ipcm_Btree_bs	8192	5	0.987000	0.991000	0.993000	0.993000	1.009000	1700004	6522806	503023	1196981		-
ipcm_Btree_bs	16384	5	1.039000	1.039000	1.045000	1.046000	1.046000	1767418	15337053	531705	1235713		-
ipcm_Btree_bs	32768	5	1.098000	1.099000	1.100000	1.118000	1.125000	3218977	19179926	556575	2662402		-
ipcm_Btree_bs	65536	5	1.153000	1.153000	1.153000	1.159000	1.167000	5471793	18414329	443223	5028570		-
ipcm_Btree_bs	131072	5	1.252000	1.253000	1.260000	1.262000	1.272000	12664019	14809989	603314	12060705		-
ipcm_Btree_bs	262144	5	1.349000	1.350000	1.354000	1.363000	1.379000	17086875	15405479	798848	16288027		-
ipcm_Btree_bs	524288	5	1.678000	1.689000	1.698000	1.717000	1.743000	20611920	19643548	1586143	19025777		-
ipcm_Btree_bs	1048576	5	1.921000	1.943000	1.948000	1.952000	1.952000	23390075	20621853	4196443	19193632		-
ipcm_Btree_bs	2097152	5	2.556000	2.587000	2.593000	2.593000	2.618000	30004816	17606984	12528045	17476771		-
ipcm_Btree_bs	4194304	5	2.895000	2.910000	2.915000	2.916000	2.941000	35569745	14175809	16791049	18778696		-
ipcm_Btree_bs	8388608	5	3.121000	3.124000	3.134000	3.145000	3.154000	39201607	16192983	19674740	19526867		-
ipcm_Btree_bs	16777216	5	3.384000	3.397000	3.417000	3.434000	3.443000	41382654	19718871	23751140	17631514		-
