Test	Size	Trials	Min [s]	Lower [s]	Median [s]	Upper [s]	Max [s]	L2 miss	L2 hits	L3 miss	L3hits	Comparisons
ipcm_DFS_lin	1	5	0.072000	0.073000	0.073000	0.074000	0.096000	17302	30188	11233	6069		-
ipcm_DFS_lin	2	5	0.079000	0.079000	0.080000	0.082000	0.089000	26566	16246	15437	11129		-
ipcm_DFS_lin	4	5	0.134000	0.136000	0.136000	0.150000	0.152000	22955	16524	12439	10516		-
ipcm_DFS_lin	8	5	0.176000	0.184000	0.185000	0.187000	0.216000	439871	762785	140233	299638		-
ipcm_DFS_lin	16	5	0.251000	0.258000	0.259000	0.263000	0.277000	434470	746975	137668	296802		-
ipcm_DFS_lin	32	5	0.301000	0.304000	0.326000	0.341000	0.349000	455263	770012	149666	305597		-
ipcm_DFS_lin	64	5	0.341000	0.343000	0.345000	0.350000	0.352000	454708	739246	142023	312685		-
ipcm_DFS_lin	128	5	0.412000	0.419000	0.425000	0.425000	0.442000	572954	770538	159725	413229		-
ipcm_DFS_lin	256	5	0.501000	0.505000	0.509000	0.509000	0.517000	907861	1521223	303006	604855		-
ipcm_DFS_lin	512	5	0.504000	0.509000	0.515000	0.531000	0.535000	511704	766782	157107	354597		-
ipcm_DFS_lin	1024	5	0.579000	0.584000	0.586000	0.593000	0.599000	94723	20440	22933	71790		-
ipcm_DFS_lin	2048	5	0.584000	0.585000	0.586000	0.587000	0.589000	42454	12511	15260	27194		-
ipcm_DFS_lin	4096	5	0.665000	0.667000	0.667000	0.669000	0.669000	69242	28846	15377	53865		-
ipcm_DFS_lin	8192	5	0.763000	0.765000	0.767000	0.770000	0.803000	179788	1560248	17484	162304		-
ipcm_DFS_lin	16384	5	0.802000	0.803000	0.804000	0.807000	0.809000	217861	8947997	24747	193114		-
ipcm_DFS_lin	32768	5	0.898000	0.901000	0.905000	0.907000	0.924000	151933	15625647	19616	132317		-
ipcm_DFS_lin	65536	5	1.004000	1.011000	1.011000	1.012000	1.016000	1019832	20874321	23241	996591		-
ipcm_DFS_lin	131072	5	1.089000	1.095000	1.095000	1.096000	1.099000	7837423	19360307	41763	7795660		-
ipcm_DFS_lin	262144	5	1.256000	1.256000	1.256000	1.260000	1.271000	14498636	17599239	43962	14454674		-
ipcm_DFS_lin	524288	5	1.357000	1.402000	1.434000	1.445000	1.492000	24536985	22238464	1558483	22978502		-
ipcm_DFS_lin	1048576	5	1.677000	1.726000	1.735000	1.741000	1.746000	29516123	20509030	2655463	26860660		-
ipcm_DFS_lin	2097152	5	2.346000	2.442000	2.480000	2.491000	2.521000	35486600	18674472	9425149	26061451		-
ipcm_DFS_lin	4194304	5	2.862000	2.866000	2.869000	2.878000	2.915000	38936879	14853565	14402686	24534193		-
ipcm_DFS_lin	8388608	5	3.409000	3.451000	3.461000	3.507000	3.556000	47447074	20264853	22504617	24942457		-
ipcm_DFS_lin	16777216	5	3.848000	3.880000	3.935000	3.966000	3.985000	52079298	19665149	28000080	24079218		-
