
Test config
Factor: 0
A: z-curve-tiled par-strassen-32(32-simd-fixed-tiled-bc)_SIMD
B: z-curve-tiled par-strassen-32(32-simd-fixed-tiled-bc)_SIMD
C: z-curve-tiled par-strassen-32(32-simd-fixed-tiled-bc)_SIMD
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.005000	0.005000	0.005000	0.005000	0.005000	57773	102095	44920	57175	11218371	0.102478	0.000000	
256	256	256	1	0.014000	0.014000	0.014000	0.014000	0.014000	168951	369124	115318	253806	39001921	0.215454	0.000000	
512	512	512	1	0.051000	0.051000	0.051000	0.051000	0.051000	459454	2074072	239492	1834580	181075884	0.727982	0.000000	
1024	1024	1024	1	0.126000	0.126000	0.126000	0.126000	0.126000	2203602	10289515	605637	9683878	1125076774	4.072433	281472829267529.906250	
2048	2048	2048	1	0.745000	0.745000	0.745000	0.745000	0.745000	13576802	78247583	4221139	74026444	7478586070	26.879074	0.000000	
4096	4096	4096	1	4.883000	4.883000	4.883000	4.883000	4.883000	90989801	577215811	34386373	542829438	50425710235	184.268799	0.000000	
