
Test config
Factor: 0
A: row-based naive
B: column-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
392	392	392	1	0.048000	0.048000	0.048000	0.048000	0.048000	1369	43646	38377	5269	546889653	0.900742	281474966163592.281250	
400	400	400	1	0.051000	0.051000	0.051000	0.051000	0.051000	1062	45001	40148	4853	580884683	0.951126	281474966163592.281250	
408	408	408	1	0.054000	0.054000	0.054000	0.054000	0.054000	1109	46193	41252	4941	616330911	1.006531	281474966163592.281250	
416	416	416	1	0.058000	0.058000	0.058000	0.058000	0.058000	1250	49777	42476	7301	653304993	1.069321	281474966163592.281250	
424	424	424	1	0.061000	0.061000	0.061000	0.061000	0.061000	1154	51097	45816	5281	691472755	1.117142	281474966163592.281250	
432	432	432	1	0.064000	0.064000	0.064000	0.064000	0.064000	1281	54724	48920	5804	731236592	1.192017	281474966163592.281250	
440	440	440	1	0.068000	0.068000	0.068000	0.068000	0.068000	1255	58714	51106	7608	772507519	1.248611	281474966163592.281250	
448	448	448	1	0.072000	0.072000	0.072000	0.072000	0.072000	3398	59154	49168	9986	816697433	1.345673	281474966163592.281250	
456	456	456	1	0.075000	0.075000	0.075000	0.075000	0.075000	1300	66375	57915	8460	859632584	1.396286	281474966163592.281250	
464	464	464	1	0.079000	0.079000	0.079000	0.079000	0.079000	1370	68776	60097	8679	905563521	1.490311	281474966163592.281250	
472	472	472	1	0.084000	0.084000	0.084000	0.084000	0.084000	1459	72428	63005	9423	953082895	1.548508	281474966163592.281250	
480	480	480	1	0.088000	0.088000	0.088000	0.088000	0.088000	1681	73337	59554	13783	1002381265	1.641449	281474966163592.281250	
488	488	488	1	0.092000	0.092000	0.092000	0.092000	0.092000	1723	85557	69323	16234	1053181463	1.732132	281474966163592.281250	
496	496	496	1	0.097000	0.097000	0.097000	0.097000	0.097000	2843	101483	79391	22092	1106318075	1.807144	281474966163592.281250	
504	504	504	1	0.102000	0.102000	0.102000	0.102000	0.102000	1879	100764	81058	19706	1160114169	1.888443	281474966163592.281250	
512	512	512	1	0.107000	0.107000	0.107000	0.107000	0.107000	5241	61981	42389	19592	1215851637	1.968048	281474966163592.281250	
520	520	520	1	0.112000	0.112000	0.112000	0.112000	0.112000	2286	118513	92292	26221	1274483976	2.081467	281474966163592.281250	
528	528	528	1	0.117000	0.117000	0.117000	0.117000	0.117000	3324	131429	99092	32337	1334489165	2.187408	281474966163592.281250	
536	536	536	1	0.122000	0.122000	0.122000	0.122000	0.122000	1897	140000	106223	33777	1394528807	2.257401	281474966163592.281250	
544	544	544	1	0.128000	0.128000	0.128000	0.128000	0.128000	2192	137445	99841	37604	1457792053	2.368484	281474966163592.281250	
552	552	552	1	0.133000	0.133000	0.133000	0.133000	0.133000	2004	167347	125800	41547	1522898484	2.483368	281474966163592.281250	
560	560	560	1	0.139000	0.139000	0.139000	0.139000	0.139000	2988	192136	135464	56672	1590543564	2.605545	281474966163592.281250	
568	568	568	1	0.145000	0.145000	0.145000	0.145000	0.145000	2099	190585	138603	51982	1658918698	2.704849	281474966163592.281250	
576	576	576	1	0.151000	0.151000	0.151000	0.151000	0.151000	3056	189126	128160	60966	1730580089	2.820557	281474966163592.281250	
