
Test config
Factor: 0
A: z-curve-tiled par-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
B: z-curve-tiled par-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
C: z-curve-tiled par-strassen2-32(32-simd-fixed-tiled-bc2)_SIMD
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
128	128	128	1	0.003000	0.003000	0.003000	0.003000	0.003000	36528	46057	15358	30699	5840369	0.060028	281472829252702.843750	
256	256	256	1	0.007000	0.007000	0.007000	0.007000	0.007000	63814	73200	44959	28241	24837890	0.123291	281472829252702.843750	
512	512	512	1	0.040000	0.040000	0.040000	0.040000	0.040000	356330	600372	180824	419548	162723558	0.814362	281472829252702.843750	
1024	1024	1024	1	0.321000	0.321000	0.321000	0.321000	0.321000	2559686	8754742	1625822	7128920	1257853623	6.627090	281472829253022.843750	
2048	2048	2048	1	2.331000	2.331000	2.331000	2.331000	2.331000	18290114	70471478	11112580	59358898	9020103973	48.291016	281472829252702.843750	
4096	4096	4096	1	16.619000	16.619000	16.619000	16.619000	16.619000	129870388	523910794	75744625	448166169	63926700890	342.595123	281472829252702.843750	
